批量导入报告 - 2026-04-24 22:25:37
目录: D:\pyprocesses\deep_rag_product_assistant\backend\data\raw\Al-Zn-Mg
产品名称: Al-Zn-Mg 合金
文档类型: paper
============================================================

总计: 161 | 成功: 161 | 失败: 0

成功文件:
  ✅ 1-s2.0-S0010938X16311684-main.pdf: 成功, document_id: 01c499ec-e435-4b
  ✅ 1-s2.0-S092150931831548X-main.pdf: 成功, document_id: 29dfb34d-b0ce-4e
  ✅ 1-s2.0-S0921509319313681-main.pdf: 成功, document_id: fb99438b-1150-4c
  ✅ 1-s2.0-S0921509319313942-main.pdf: 成功, document_id: 6e762ea0-1f70-4b
  ✅ 1-s2.0-S0921509320303701-main.pdf: 成功, document_id: 1b300a4b-07c8-46
  ✅ 1-s2.0-S0921509320304755-main.pdf: 成功, document_id: 0cef6f22-b9e5-43
  ✅ 1-s2.0-S092150932100126X-main.pdf: 成功, document_id: 228fda22-dd5d-42
  ✅ 1-s2.0-S0921509321014489-main.pdf: 成功, document_id: 66aac23d-afa6-42
  ✅ 1-s2.0-S0921509321014611-main.pdf: 成功, document_id: aa6bc67d-d95f-40
  ✅ 1-s2.0-S092150932200199X-main.pdf: 成功, document_id: 37fa33f2-6e2f-48
  ✅ 1-s2.0-S0921509322006803-main.pdf: 成功, document_id: d0ec3364-ba7e-4a
  ✅ 1-s2.0-S0921509322007390-main.pdf: 成功, document_id: a60f3675-50b6-46
  ✅ 1-s2.0-S0921509325001753-main.pdf: 成功, document_id: 6a88a2c3-61b4-42
  ✅ 1-s2.0-S0924013615302429-main.pdf: 成功, document_id: 959e2d5b-1b4a-4a
  ✅ 1-s2.0-S092583881200624X-main.pdf: 成功, document_id: 7a4ea0b2-20d4-45
  ✅ 1-s2.0-S0925838815313724-main.pdf: 成功, document_id: a9c6f7bf-5403-4d
  ✅ 1-s2.0-S0925838816300160-main.pdf: 成功, document_id: a27a70c2-e9ca-46
  ✅ 1-s2.0-S0925838816314669-main.pdf: 成功, document_id: 81df3245-9d33-46
  ✅ 1-s2.0-S0925838818310764-main.pdf: 成功, document_id: f7b28a01-1fd6-43
  ✅ 1-s2.0-S0925838818317420-main.pdf: 成功, document_id: a68ffdf7-c8b9-41
  ✅ 1-s2.0-S0925838818328421-main.pdf: 成功, document_id: c208ed11-527c-4e
  ✅ 1-s2.0-S0925838818337034-main.pdf: 成功, document_id: 3690ee9a-c572-4f
  ✅ 1-s2.0-S0925838818340374-main.pdf: 成功, document_id: c919818e-ab32-4c
  ✅ 1-s2.0-S0925838819312344-main.pdf: 成功, document_id: ea2d6150-b86e-49
  ✅ 1-s2.0-S0925838819347048-main.pdf: 成功, document_id: c06133c0-4c20-43
  ✅ 1-s2.0-S0925838819348182-main.pdf: 成功, document_id: 0ce53712-dcb6-46
  ✅ 1-s2.0-S0925838820303686-main.pdf: 成功, document_id: b1065ff9-781a-4e
  ✅ 1-s2.0-S092583882032925X-main.pdf: 成功, document_id: 96868cf1-8a97-4c
  ✅ 1-s2.0-S0925838820336367-main.pdf: 成功, document_id: f59a09b4-6981-4a
  ✅ 1-s2.0-S0925838821000876-main.pdf: 成功, document_id: 130fe3f1-b7fd-4e
  ✅ 1-s2.0-S0925838821003273-main.pdf: 成功, document_id: 3f949990-5c73-4a
  ✅ 1-s2.0-S0925838821043681-main.pdf: 成功, document_id: 8d984a24-425b-47
