批量导入报告 - 2026-04-25 16:13:42
目录: D:\pyprocesses\deep_rag_product_assistant\backend\data\raw\Al-Zn-Mg
产品名称: Al-Zn-Mg 合金
文档类型: paper
============================================================

总计: 161 | 成功: 161 | 失败: 0

成功文件:
  ✅ 1-s2.0-S0010938X16311684-main.pdf: 成功, document_id: 2803e762-21be-43
  ✅ 1-s2.0-S0921509319313942-main.pdf: 成功, document_id: 5444a22e-70cd-4f
  ✅ 1-s2.0-S0921509320303701-main.pdf: 成功, document_id: ecfeca21-2f41-4e
  ✅ 1-s2.0-S0921509320304755-main.pdf: 成功, document_id: 290014f3-f79f-4e
  ✅ 1-s2.0-S092150932100126X-main.pdf: 成功, document_id: dd5191a0-b94f-43
  ✅ 1-s2.0-S0921509321014489-main.pdf: 成功, document_id: bae8a127-a5bf-4e
  ✅ 1-s2.0-S0921509321014611-main.pdf: 成功, document_id: 7fe0d57c-dd36-42
  ✅ 1-s2.0-S092150932200199X-main.pdf: 成功, document_id: dcc3ffa7-96a8-46
  ✅ 1-s2.0-S0921509322006803-main.pdf: 成功, document_id: b04bc0a3-2a29-45
  ✅ 1-s2.0-S0921509322007390-main.pdf: 成功, document_id: fd96aa33-88ae-44
  ✅ 1-s2.0-S0921509325001753-main.pdf: 成功, document_id: f06719b1-bfc7-46
  ✅ 1-s2.0-S0924013615302429-main.pdf: 成功, document_id: 3fb10dcd-41a2-4a
  ✅ 1-s2.0-S092583881200624X-main.pdf: 成功, document_id: 29d1e5cd-fcce-47
  ✅ 1-s2.0-S0925838815313724-main.pdf: 成功, document_id: ee1ae426-1a21-45
  ✅ 1-s2.0-S0925838816300160-main.pdf: 成功, document_id: 41fa8dc5-8539-4c
  ✅ 1-s2.0-S0925838816314669-main.pdf: 成功, document_id: ef88b6a9-333a-4a
  ✅ 1-s2.0-S0925838818310764-main.pdf: 成功, document_id: abbfeec5-b047-44
  ✅ 1-s2.0-S0925838818317420-main.pdf: 成功, document_id: cef75737-eac9-45
  ✅ 1-s2.0-S0925838818328421-main.pdf: 成功, document_id: e3ace7e5-e55a-41
  ✅ 1-s2.0-S0925838818337034-main.pdf: 成功, document_id: 518c700c-9f5c-43
  ✅ 1-s2.0-S0925838818340374-main.pdf: 成功, document_id: a756cc4d-823e-4a
  ✅ 1-s2.0-S0925838819312344-main.pdf: 成功, document_id: be3a206e-920c-48
  ✅ 1-s2.0-S0925838819347048-main.pdf: 成功, document_id: 55115f93-f42f-4e
  ✅ 1-s2.0-S0925838819348182-main.pdf: 成功, document_id: 869ab7a6-4e9a-43
  ✅ 1-s2.0-S0925838820303686-main.pdf: 成功, document_id: 177b6540-e0b6-47
  ✅ 1-s2.0-S092583882032925X-main.pdf: 成功, document_id: 3970b2c6-8033-42
  ✅ 1-s2.0-S0925838820336367-main.pdf: 成功, document_id: e7b416a2-11cf-48
  ✅ 1-s2.0-S0925838821000876-main.pdf: 成功, document_id: 2f6d16b3-5c50-44
  ✅ 1-s2.0-S0925838821003273-main.pdf: 成功, document_id: 521076b5-fc5a-4e
  ✅ 1-s2.0-S0925838821043681-main.pdf: 成功, document_id: bd7c0a8b-3d4e-40
  ✅ 1-s2.0-S0925838823005492-main.pdf: 成功, document_id: 98e53d9e-1a3e-40
  ✅ 1-s2.0-S0925838823042330-main.pdf: 成功, document_id: 13b98144-667d-4d
  ✅ 1-s2.0-S0925838824003499-main.pdf: 成功, document_id: 63bcdfc9-b197-45
  ✅ 1-s2.0-S0925838824040854-main.pdf: 成功, document_id: a9c4a94b-a8e7-4e
  ✅ 1-s2.0-S092583882404369X-main.pdf: 成功, document_id: 65daae4d-3a31-42
  ✅ 1-s2.0-S0925838825012708-main.pdf: 成功, document_id: 744753a6-2d79-4d
  ✅ 1-s2.0-S0925838825023606-main.pdf: 成功, document_id: d63d89c3-8571-4e
  ✅ 1-s2.0-S100200711630003X-main.pdf: 成功, document_id: 63711d4c-4429-48
  ✅ 1-s2.0-S1002007117310250-main.pdf: 成功, document_id: eed801ef-9379-4b
  ✅ 1-s2.0-S1002072120303288-main.pdf: 成功, document_id: b684a455-3008-43
  ✅ 1-s2.0-S1003632617600566-main.pdf: 成功, document_id: 390fab5e-16db-41
  ✅ 1-s2.0-S1003632619651332-main.pdf: 成功, document_id: dce5bf59-1cdb-45
  ✅ 1-s2.0-S1003632619651575-main.pdf: 成功, document_id: 9ece48bc-30c0-42
  ✅ 1-s2.0-S1003632620653080-main.pdf: 成功, document_id: 815e765a-0f93-4b
  ✅ 1-s2.0-S1003632620653377-main.pdf: 成功, document_id: 0ceb97ab-e0f8-4e
  ✅ 1-s2.0-S1003632625668749-main.pdf: 成功, document_id: 76dfa47f-34fc-4c
  ✅ 1-s2.0-S1005030216302067-main.pdf: 成功, document_id: bd10ac31-bba8-4c
  ✅ 1-s2.0-S100503021630233X-main.pdf: 成功, document_id: 67ab33df-7f97-46
  ✅ 1-s2.0-S1005030221000967-main.pdf: 成功, document_id: d0c82075-2487-46
  ✅ 1-s2.0-S100503022200158X-main.pdf: 成功, document_id: 482dbd6e-917d-40
  ✅ 1-s2.0-S1005030223001639-main.pdf: 成功, document_id: dfd2b3eb-5cc0-48
  ✅ 1-s2.0-S1005030224003980-main.pdf: 成功, document_id: e5ad7217-3e55-43
  ✅ 1-s2.0-S1005030225000404-main.pdf: 成功, document_id: 56364c93-cbc6-47
  ✅ 1-s2.0-S1044580318334648-main.pdf: 成功, document_id: 819718d7-4334-41
  ✅ 1-s2.0-S1044580319318881-main.pdf: 成功, document_id: 99a725f0-6ec3-49
  ✅ 1-s2.0-S104458032100797X-main.pdf: 成功, document_id: f57beada-8357-40
  ✅ 1-s2.0-S1044580322003655-main.pdf: 成功, document_id: e938ede8-c5d3-41
  ✅ 1-s2.0-S1044580322005861-main.pdf: 成功, document_id: 4bc8a0e1-2b7b-45
  ✅ 1-s2.0-S1044580323008963-main.pdf: 成功, document_id: 2e536b44-8bfd-49
  ✅ 1-s2.0-S1350630723007069-main.pdf: 成功, document_id: deb8b50f-6f63-44
  ✅ 1-s2.0-S1359645420310119-main.pdf: 成功, document_id: 5fbbafe9-ce50-44
  ✅ 1-s2.0-S1359645424001411-main.pdf: 成功, document_id: 2e088ca4-a145-42
  ✅ 1-s2.0-S1359646220302098-main.pdf: 成功, document_id: a1debcbd-a0ce-44
