批量导入报告 - 2026-05-08 23:06:05
目录: D:\pyprocesses\deep_rag_product_assistant\backend\data\raw
产品名称: 自动从文件名提取
文档类型: paper
============================================================

总计: 909 | 成功: 909 | 失败: 0

成功文件:
  ✅ coatings-12-00787.pdf: 成功, document_id: 776eb59a-1cbb-48
  ✅ Dong_2019_Mater._Res._Express_6_096501.pdf: 成功, document_id: cd8e289d-bbf1-4a
  ✅ Image_Deep_Learning_Assisted_Prediction_of_Mechanical_and_Corrosion_Behavior_for_Al-Zn-Mg_Alloys.pdf: 成功, document_id: e97ec659-14ee-41
  ✅ Influence-of-Tellurium-on-microstructure-mechanical-and-corrosion-properties-of-Al–Zn-Mg-alloys.pdf: 成功, document_id: 73efc18e-12e8-4d
  ✅ materials-13-01909 (1).pdf: 成功, document_id: 72054e90-b8db-4e
  ✅ materials-13-01909.pdf: 成功, document_id: c8554b34-fea4-43
  ✅ materials-13-03299-v2 (1).pdf: 成功, document_id: be7e9e4e-e4cc-47
  ✅ materials-13-03299-v2.pdf: 成功, document_id: a4e1e36e-02fc-4f
  ✅ materials-13-04791.pdf: 成功, document_id: c1d71662-422b-4f
  ✅ materials-15-00589.pdf: 成功, document_id: dc29dd66-47b8-44
  ✅ materials-15-06955-v2.pdf: 成功, document_id: 7f512e8a-a105-47
  ✅ materials-16-03769.pdf: 成功, document_id: e7b17950-7241-4b
  ✅ materials-16-04346.pdf: 成功, document_id: 9440235c-2acd-4f
  ✅ materials-17-00628-v2.pdf: 成功, document_id: 14192246-a347-4e
  ✅ materials-18-03541.pdf: 成功, document_id: a5ec773f-5f54-43
  ✅ metals-08-00527.pdf: 成功, document_id: ec333cc7-3fbc-4f
  ✅ metals-10-01194-v2.pdf: 成功, document_id: 26cc80b4-b7c8-4b
  ✅ metals-12-00259-v2.pdf: 成功, document_id: 67c6f84a-0f79-47
  ✅ metals-12-01610-v2.pdf: 成功, document_id: debabfda-aa13-43
  ✅ metals-13-00829.pdf: 成功, document_id: 959dfe10-aae5-41
  ✅ metals-14-00625.pdf: 成功, document_id: 19ce4f20-23f9-4b
  ✅ metals-15-01211.pdf: 成功, document_id: 65bfe581-3813-4f
  ✅ s10853-008-2773-0.pdf: 成功, document_id: 99861170-9839-43
  ✅ s10853-020-05438-0.pdf: 成功, document_id: 0a30c7fe-5c79-4a
  ✅ s10853-021-06692-6.pdf: 成功, document_id: 1385fc40-8cab-42
  ✅ s10973-018-7856-9.pdf: 成功, document_id: ebf787ee-75b1-41
  ✅ s11661-016-3484-9.pdf: 成功, document_id: 19270c87-565e-40
  ✅ s11661-018-4832-8.pdf: 成功, document_id: 6df277f7-ccbc-4e
  ✅ s11661-020-05768-3.pdf: 成功, document_id: f3ae113a-44ce-4a
  ✅ s11665-018-3691-1.pdf: 成功, document_id: e7d87e0f-6b1e-49
  ✅ s11665-019-03888-5.pdf: 成功, document_id: 6ed3aee4-d4e0-4f
