批量导入报告 - 2026-05-07 18:24:32
目录: D:\pyprocesses\deep_rag_product_assistant\backend\data\raw\new
产品名称: 新合金论文
文档类型: paper
============================================================

总计: 530 | 成功: 530 | 失败: 0

成功文件:
  ✅ 1-s2.0-S2214860420308198-main.pdf: 成功, document_id: d51c64a9-7261-4d
  ✅ 1-s2.0-S2238785419310749-main.pdf: 成功, document_id: 146d5333-19f2-4a
  ✅ 1-s2.0-S2238785419315522-main.pdf: 成功, document_id: 1b9d23db-a495-46
  ✅ 1-s2.0-S2238785420301472-main.pdf: 成功, document_id: 72ec5b25-9b70-4b
  ✅ 1-s2.0-S223878542031838X-main.pdf: 成功, document_id: b9a40b30-e9cc-4b
  ✅ 1-s2.0-S2238785420319918-main.pdf: 成功, document_id: 2bb558e4-87cb-4d
  ✅ 1-s2.0-S2238785421015180-main.pdf: 成功, document_id: 0b847cc3-9f85-4b
  ✅ 1-s2.0-S2238785422004756-main.pdf: 成功, document_id: 4a6ba748-f860-44
  ✅ 1-s2.0-S2238785422009206-main.pdf: 成功, document_id: 370850fe-24f9-42
  ✅ 1-s2.0-S2238785422013266-main.pdf: 成功, document_id: 885e97ba-91ec-44
  ✅ 1-s2.0-S2238785422018117-main.pdf: 成功, document_id: 5a23de3d-e62d-45
  ✅ 1-s2.0-S2238785422020221-main.pdf: 成功, document_id: 639df3a4-fbae-4e
  ✅ 1-s2.0-S2238785423003782-main.pdf: 成功, document_id: c86c1a33-30f3-42
  ✅ 1-s2.0-S2238785423011481-main.pdf: 成功, document_id: 6b3e2933-5a4d-47
  ✅ 1-s2.0-S2238785423017155-main.pdf: 成功, document_id: 39cc5c1d-b987-42
  ✅ 1-s2.0-S2238785423019506-main.pdf: 成功, document_id: 2dbcb91c-d989-48
  ✅ 1-s2.0-S2238785424005404-main.pdf: 成功, document_id: 341af185-822e-47
  ✅ 1-s2.0-S2238785424008172-main.pdf: 成功, document_id: 5ae7d021-b429-47
  ✅ 1-s2.0-S2238785424009086-main.pdf: 成功, document_id: c1a00768-7834-49
  ✅ 1-s2.0-S2238785424021227-main.pdf: 成功, document_id: c07ad9f5-be71-4a
  ✅ 1-s2.0-S2238785424025079-main.pdf: 成功, document_id: 3a3139a0-1ca5-41
  ✅ 1-s2.0-S2238785426005569-main.pdf: 成功, document_id: 550550d5-ba1a-4e
  ✅ 1-s2.0-S2352492822014696-main.pdf: 成功, document_id: 5d07b6b1-3563-4c
  ✅ 1-s2.0-S2452213921000255-main.pdf: 成功, document_id: 3d562272-aa44-4d
  ✅ 1-s2.0-S2590049824000547-main.pdf: 成功, document_id: 81ce627a-b846-4a
  ✅ 1-s2.0-S2590123022004091-main.pdf: 成功, document_id: 806a841e-f1f4-46
  ✅ 1-s2.0-S2590123025032773-main.pdf: 成功, document_id: 159a2a56-b9f7-48
  ✅ 125111_1_online.pdf: 成功, document_id: 53f37edc-4783-49
  ✅ 52_900.pdf: 成功, document_id: 829c9cfc-a5b8-49
  ✅ 64_MT-M2022168.pdf: 成功, document_id: fb8733fd-3ea7-48
  ✅ Adv Eng Mater - 2018 - Li - Effects of Heat Treatment on Microstructure and Mechanical Properties of an ECAPed Al Zn Mg Cu.pdf: 成功, document_id: 87ef5534-7b55-4e
  ✅ Adv Eng Mater - 2019 - Zhang - Hall Petch Relationship in Electrically Pulsed Al Zn Mg Alloys.pdf: 成功, document_id: 9fc0d2b8-8bc9-45
  ✅ Advances in Materials Science and Engineering - 2017 - Rojas - Study on Mechanical Relaxations of 7075  Al Zn Mg  and 2024 .pdf: 成功, document_id: fa1107f0-1833-42
  ✅ Advances in Materials Science and Engineering - 2021 - Ponnusamy - Retracted  Mechanical Strength and Fatigue Fracture.pdf: 成功, document_id: d032c013-a8ff-45
  ✅ applsci-11-00470.pdf: 成功, document_id: 23cc8825-665b-46
  ✅ BF00356137.pdf: 成功, document_id: 5e223e39-8909-48
  ✅ c6ra21696j.pdf: 成功, document_id: f21c5c2f-d206-43
  ✅ c8cp01820k.pdf: 成功, document_id: ceaff930-f8c0-4c
  ✅ Characterisation of structural similarities of precipitates in Mg Zn and Al Zn Mg alloys systems.pdf: 成功, document_id: 44eaf0f8-344d-4b
  ✅ coatings-12-00787.pdf: 成功, document_id: 0ddf8f79-9c45-44
  ✅ Dong_2019_Mater._Res._Express_6_096501.pdf: 成功, document_id: 2bc5ad12-3217-42
  ✅ Effects of base and filler chemistry and weld techniques on equiaxed zone formation in Al Zn Mg alloy welds.pdf: 成功, document_id: 0956e788-d5ab-4e
  ✅ Fatigue Fract Eng Mat Struct - 2022 - Wang - Fatigue life prediction for Al Zn Mg alloy butt welded joints based on a.pdf: 成功, document_id: 6fd4dc70-5c6b-47
  ✅ Image_Deep_Learning_Assisted_Prediction_of_Mechanical_and_Corrosion_Behavior_for_Al-Zn-Mg_Alloys.pdf: 成功, document_id: c2e1f7d3-bad1-44
  ✅ Influence of thermal treatment media on characteristics of Al Zn Mg alloys.pdf: 成功, document_id: 5e1c3fea-0ca9-49
  ✅ Influence-of-Tellurium-on-microstructure-mechanical-and-corrosion-properties-of-Al–Zn-Mg-alloys.pdf: 成功, document_id: 3dcd6f5d-192a-40
  ✅ materials-12-01595 (1).pdf: 成功, document_id: 677e856d-68ea-43
  ✅ materials-12-01595.pdf: 成功, document_id: a2523213-111f-4e
  ✅ materials-12-04178.pdf: 成功, document_id: d5a1069c-f0cb-4c
  ✅ materials-13-01909 (1).pdf: 成功, document_id: 40623b6b-7c85-49
  ✅ materials-13-01909.pdf: 成功, document_id: 88cd04d3-398a-42
  ✅ materials-13-03299-v2 (1).pdf: 成功, document_id: cc93b301-43a4-43
  ✅ materials-13-03299-v2.pdf: 成功, document_id: 36c56618-12e6-49
  ✅ materials-13-04791.pdf: 成功, document_id: b28988e0-5bd4-4f
  ✅ materials-15-00589.pdf: 成功, document_id: b7f5f77e-1f66-4b
  ✅ materials-15-06955-v2.pdf: 成功, document_id: 10381424-6e4e-4b
  ✅ materials-16-03769.pdf: 成功, document_id: ef6c4e6e-3d49-40
  ✅ materials-16-04346.pdf: 成功, document_id: ad73012e-eeb2-43
  ✅ materials-17-00628-v2.pdf: 成功, document_id: fedc11c4-567b-45
  ✅ materials-17-02446.pdf: 成功, document_id: 6ea26d76-a1cd-4a
  ✅ materials-18-03541.pdf: 成功, document_id: 0f9523a9-814e-49
  ✅ materials-19-00104.pdf: 成功, document_id: c024dcfb-a082-4a
  ✅ Metallographic investigation of hot tear in direct chill cast Al Zn Mg billet.pdf: 成功, document_id: bf477dc1-7b0d-45
  ✅ metals-08-00225.pdf: 成功, document_id: 5c6e690a-8d79-4c
  ✅ metals-08-00487.pdf: 成功, document_id: 8e5380ff-236f-46
  ✅ metals-08-00527.pdf: 成功, document_id: ff329b6e-b07b-45
  ✅ metals-09-00140.pdf: 成功, document_id: 7feefb8e-51ec-45
  ✅ metals-10-01194-v2.pdf: 成功, document_id: 485177da-30df-4d
  ✅ metals-12-00259-v2.pdf: 成功, document_id: f8af5365-6d81-4a
  ✅ metals-12-01452-v2.pdf: 成功, document_id: 4b2aaf50-5322-45
  ✅ metals-12-01610-v2.pdf: 成功, document_id: 95e3d5f4-28fa-44
  ✅ metals-13-00829.pdf: 成功, document_id: d8508851-9a35-44
  ✅ metals-14-00625.pdf: 成功, document_id: df47f321-1f62-4c
  ✅ metals-14-00844.pdf: 成功, document_id: 2a62be8d-5a6a-41
  ✅ metals-15-01211.pdf: 成功, document_id: 8a7b19ae-39df-49
  ✅ metals-15-01260.pdf: 成功, document_id: e5f4696e-be55-4f
